Name,Email,Skill,SkillDescription,SkillRate,Salary
Isaiah,ut.nisi@In.co.uk,Java,,7,200000
Kylan,Quisque.porttitor.eros@lacinia.edu,Javascript,,2,
Katelyn,Nunc.mauris.Morbi@est.ca,Javascript,,9,
Ishmael,Lorem@idmagnaet.edu,Javascript,,8,300000
Brynn,sit@egestas.org,TFS,,3,
Delilah,sem.magna.nec@eutempor.org,HTML,,7,
Indigo,blandit.congue.In@semut.com,TFS,,6,300000
Emery,sagittis.placerat@feugiat.co.uk,Oracle,,10,400000
Wynne,et.pede@mollis.net,Agile,,3,
Debra,tempus@dapibusquamquis.com,HTML,,7,
Lacey,semper@maurisSuspendissealiquet.ca,CSS,,6,
Yolanda,ornare.egestas.ligula@dictumplacerat.ca,Scrum,,9,250000
Yolanda,ornare.egestas.ligula@dictumplacerat.ca,Java,,7,250000
Yolanda,ornare.egestas.ligula@dictumplacerat.ca,UML,,4,250000
Yolanda,ornare.egestas.ligula@dictumplacerat.ca,Javascript,,5,250000
Yolanda,ornare.egestas.ligula@dictumplacerat.ca,Oracle,,8,250000
Skyler,lobortis.quis@Nuncsed.edu,Javascript,,7,
Rinah,Nam.porttitor.scelerisque@a.net,Java,,4,550000
Ocean,quis.massa.Mauris@odioEtiam.ca,UML,,10,
Dante,velit.eu@nonjusto.co.uk,Git,,3,
Venus,Nulla.facilisis@sitamet.edu,Javascript,,7,
Anika,blandit.enim.consequat@eratnonummyultricies.ca,UML,,6,
Scarlet,nisi.Cum@torquentperconubia.com,Oracle,,3,
Tarik,egestas.a.scelerisque@tellusAenean.net,HTML,,8,550000
Althea,tristique.pellentesque@amet.co.uk,OOP,,8,
Mariam,amet.faucibus@Nullamvelit.ca,TFS,,3,
Neil,Quisque.libero@aliquetvel.edu,Git,,6,200000
Neil,Quisque.libero@aliquetvel.edu,SVN,,8,200000
Neil,Quisque.libero@aliquetvel.edu,Agile,,9,200000
Neil,Quisque.libero@aliquetvel.edu,SQL Server,,8,200000
Alma,sit.amet.lorem@nequesed.com,SQL Server,,5,
Quon,Aenean.massa.Integer@nonmassanon.net,AngularJS,,2,200000
Lawrence,Cras.pellentesque.Sed@elitpharetra.com,AngularJS,,1,
Nigel,eget.volutpat@ut.edu,HTML,,5,550000
Shay,at.iaculis@nonummy.ca,TFS,,7,
Felix,dolor@acfermentumvel.co.uk,Java,,8,250000
Brian,et.magna@Cumsociis.net,SQL Server,,2,
Rahim,Etiam@sapienAeneanmassa.ca,Agile,,7,
Deborah,Phasellus.at.augue@Nuncmauris.org,SQL Server,,1,200000
